"V1","V2","V3","V4","V5","V6","V7","V8"
"PredatorName","PreyName","lower95","upper95","mle","simpleaverages","bootaverage","bootmode"
"Bioeroding Fish","Small_sharks","4.02151946825549e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Skates_and_rays","4.02151946825298e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Brown_shrimp","4.02151946825773e-13","0.00996654564738941","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","White_shrimp","4.02151946825397e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Pink_shrimp","4.0215194682535e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Other_shrimp","2.73306274457393e-05","0.0222448988453473","1.19140281241299e-10","0.0152053387197907","0.0154579255853332","0.0130793096013588"
"Bioeroding Fish","Diving_birds","4.02151946825263e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Surface_feeding_birds","4.0215194682558e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Manatee","4.02151946825288e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Mysticeti","4.0215194682535e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Dolphins_and_porpoises","4.02151946825499e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Deep_diving_odontocetae","4.02151946825186e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Loggerhead","4.02151946825788e-13","0.00996654564738941","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Kemps_ridley","4.02151946825763e-13","0.00996654564738941","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Other_turtles","4.02151946825238e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Blue_crab","4.02151946825376e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Stone_crab","4.02151946825412e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Crabs_and_lobsters","0.00137766023460451","0.0389891070718464","0.00721936048303137","0.0248649508818317","0.0248985435113308","0.021387414348483"
"Bioeroding Fish","Stony_corals","3.81314911071171e-07","0.0164204770590108","1.19140281241299e-10","0.00291377853442179","0.00280220734279675","0.00250750114646842"
"Bioeroding Fish","Crustose_coralline_algae","4.02151946825369e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Octocorals","4.02151946825408e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Sponges","8.13280128870823e-07","0.0171484238332985","1.19140281241299e-10","0.000953665171478931","0.000958129371500741","0.000821633550297106"
"Bioeroding Fish","Carnivorous_macrobenthos","0.0628873956079025","0.168639026980052","0.124041946499301","0.114319951103005","0.113662900090296","0.0578646956839821"
"Bioeroding Fish","Infaunal_meiobenthos","0.0315115457753566","0.115989844188286","0.0727035223363779","0.0779220473247209","0.0766250704106904","0.0668890994904586"
"Bioeroding Fish","Herbivorous_echinoderms","6.12904407956075e-07","0.0168664453125769","1.19140281241299e-10","0.00312040142853488","0.00306242131667499","0.00268521476670996"
"Bioeroding Fish","Oysters","4.02151946825568e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Bivalves","5.07955784590295e-05","0.0236519355582082","1.19140281241299e-10","0.0188851181682397","0.0189066879939137","0.0162441193763313"
"Bioeroding Fish","Sessile_filter_feeders","0.00112038155116784","0.0372957868806038","0.00607427551082393","0.0242651762087442","0.0240743492860825","0.0200522349685283"
"Bioeroding Fish","Epiphytes","4.02151946825521e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Sea_grass","4.06960147684019e-06","0.0190421601416658","1.19140281241299e-10","0.00680362614481395","0.00671788892804476","0.00585310766310321"
"Bioeroding Fish","Macroalgae","0.0873005771246877","0.204985682568477","0.161277959432406","0.147674958279986","0.146698614112574","0.119262381876311"
"Bioeroding Fish","Microphytobenthos","4.02151946825582e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Large_phytoplankton","4.02151946825513e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Small_phytoplankton","0.404470358936144","0.573971216120793","0.582916806945093","0.488896621403353","0.491779354987703","0.306010372920648"
"Bioeroding Fish","Toxic_dinoflagellates","4.02151946825476e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Protists","4.02151946825482e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Jellyfish","4.02151946825507e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Squid","4.02151946825438e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Large_zooplankton","4.02151946825499e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Small_zooplankton","0.0169944955895515","0.0867559526078732","0.0457661189043231","0.0500716784915431","0.0509070110694529","6.3602397831081e-05"
"Bioeroding Fish","Bacteria","4.02151946825521e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Carrion_detritus","4.02151946825491e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Labile_detritus","4.0215194682556e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Refractory_detritus","4.02151946825488e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
